0, 5N, 6N, 7N, 8N, 9N, 10N, 11N, 12N, 13N, 14N, 15N, 16N, 17N, 18N, 19N, 20N, 21N, 22N, 23N, 24N, 25N, 26N, 27N, 28N, 29N, 30N, 31N, 32N, 33N, 34N, 35N, 36N, 37N, 38N, 39N, 40N, 41N, 42N, 43N, 44N, 45N, 46N, 47N, 48N, 49N, 50N, 51N, 52N, 53N, 54N, 55N, 56N, 57N, 58N, 59N, 60N, 61N, 62N, 63N, 64N, 65N, 66N, 67N, 68N, 69N, 70N, 71N, 72N, 73N, 74N, 75N, 76N, 77N, 78N, 79N, 80N, 81N, 82N, 83N, 84N, 85N, 86N, 87N, 88N, 89N, 90N, 91N, 92N, 93N, 94N, 95N, 96N, 97N, 98N, 99N, 100N, 101N, 102N, 103N, 104N, 105N, 106N, 107N, 108N, 109N, 110N, 111N, 112N, 113N, 114N, 115N, 116N, 117N, 118N, 119N, 120N, 121N, 122N, 123N, 124N, 125N, 126N, 127N, 128N, 129N, 130N, 131N, 132N, 133N, 134N, 135N, 136N, 137N, 138N, 139N, 140N, 141N, 142N, 143N, 144N, 145N, 146N, 147N, 148N, 149N, 150N, 151N, 152N, 153N, 154N, 155N, 156N, 157N, 158N, 159N, 160N, 161N, 162N, 163N, 164N, 165N, 166N, 167N, 168N, 169N, 170N, 171N, 172N, 173N, 174N, 175N, 176N, 177N, 178N, 179N, 180N, 181N, 182N, 183N, 184N, 185N, 186N, 187N, 188N, 189N, 190N, 191N, 192N, 193N, 194N, 195N, 196N, 197N, 198N, 199N, 200N, 201N, 202N, 203N, 204N
0.01R, 68.59767, 80.25041, 85.97662, 88.18029, 89.92765, 90.40067, 91.53032, 92.22594, 93.0551, 93.91765, 93.72287, 93.84529, 94.36839, 94.65776, 94.67445, 94.930435, 94.89706, 95.58709, 95.15861, 95.375626, 95.31997, 95.60935, 95.49248, 95.55926, 95.90985, 95.932106, 95.70952, 95.8542, 95.93767, 96.03784, 96.15471, 95.99332, 96.054535, 96.0601, 96.32164, 96.18253, 96.14914, 96.24374, 96.46077, 96.26043, 96.38286, 96.47746, 96.3773, 96.371735, 96.35504, 96.47746, 96.49972, 96.50528, 96.52198, 96.488594, 96.39399, 96.54424, 96.38286, 96.66667, 96.44408, 96.9004, 96.5832, 96.58876, 96.616585, 96.61658, 96.61658, 96.53867, 96.70006, 96.611015, 96.72232, 96.811356, 96.683365, 96.66667, 96.60545, 96.64441, 96.616585, 96.71675, 96.68892, 96.57207, 96.84474, 96.73345, 96.71675, 96.76128, 96.71675, 96.76683, 96.91709, 96.87813, 96.76128, 96.78909, 96.78909, 96.70005, 96.87813, 96.70561, 96.81692, 96.800224, 96.80022, 96.7891, 96.84474, 96.83361, 96.76683, 96.8503, 96.772415, 96.84474, 96.78352, 96.82805, 96.822495, 96.7557, 96.933784, 96.922646, 96.816925, 96.8837, 96.92265, 96.87813, 96.861435, 96.733444, 96.9783, 96.83919, 96.85587, 96.91709, 96.8503, 96.92821, 96.94491, 96.86144, 96.822495, 96.85587, 96.76684, 96.90595, 96.89482, 96.93378, 96.90595, 96.89482, 96.90038, 96.872574, 96.8503, 96.922646, 96.95048, 96.80578, 96.89483, 96.878136, 96.91708, 97.00613, 96.92265, 96.83362, 96.983864, 96.93934, 96.9783, 96.867004, 96.90039, 96.85587, 96.8336, 96.861435, 96.93378, 96.922646, 96.89482, 96.92265, 96.794655, 96.90595, 97.01725, 96.99499, 96.93378, 96.95047, 96.922646, 96.92821, 96.96161, 96.87813, 96.911514, 96.96159, 97.00613, 96.95604, 96.994995, 96.90595, 97.00056, 96.92265, 96.88926, 96.994995, 96.87256, 96.96161, 96.989426, 97.011696, 96.98387, 96.97274, 97.106285, 96.9616, 96.94491, 96.93376, 96.872574, 96.93935, 96.95604, 96.92265, 96.917076, 96.939354, 96.95603, 96.97274, 96.90596, 96.92265, 97.02281, 96.994995, 96.93935, 96.92821, 96.94491, 97.01725, 96.97273, 96.983864, 96.96161, 96.90039
0.03R, 70.61213, 81.029495, 86.867004, 89.13746, 90.217026, 90.5064, 91.569275, 92.67112, 93.266556, 93.84529, 93.47245, 94.23485, 94.06233, 94.14022, 94.41291, 94.8748, 94.691154, 95.013916, 95.1419, 95.21423, 95.42015, 95.43684, 95.720634, 95.54814, 95.6483, 95.82638, 95.74847, 95.57596, 95.97662, 96.22704, 96.14357, 95.93767, 95.94881, 96.19922, 96.266, 96.16583, 96.138, 96.21591, 96.24374, 96.34391, 96.40511, 96.44964, 96.28825, 96.42738, 96.3606, 96.29382, 96.41068, 96.555374, 96.316086, 96.53868, 96.57206, 96.39955, 96.42738, 96.560936, 96.57763, 96.533104, 96.52197, 96.55537, 96.583206, 96.583206, 96.58319, 96.70562, 96.555374, 96.64998, 96.6611, 96.62771, 96.60545, 96.70006, 96.63328, 96.61101, 96.71675, 96.71119, 96.77797, 96.77797, 96.70561, 96.805786, 96.79466, 96.711174, 96.62215, 96.83917, 96.78352, 96.68892, 96.84474, 96.78909, 96.74458, 96.82805, 96.83918, 96.74458, 96.81692, 96.88369, 96.88927, 96.917076, 96.794655, 96.744576, 96.76127, 96.77797, 96.8503, 96.939354, 96.83361, 96.811356, 96.76683, 96.750145, 96.81135, 96.88926, 96.82805, 96.878136, 96.85587, 96.733444, 96.872574, 96.82805, 96.79466, 96.86143, 96.8837, 96.861435, 96.8503, 96.87257, 96.93378, 96.85031, 96.82805, 96.89482, 96.90038, 96.85587, 96.872574, 96.75014, 96.8503, 96.989426, 96.9449, 96.81692, 96.77796, 96.9783, 96.96716, 96.85587, 96.983864, 96.839165, 96.978294, 96.77797, 96.80023, 96.88926, 96.90038, 96.85587, 96.8837, 96.978294, 96.88369, 96.91708, 96.82249, 96.867004, 96.88926, 96.88926, 96.87813, 96.94491, 96.95604, 97.00056, 96.94491, 96.90039, 96.90039, 96.983864, 96.98386, 96.95048, 96.872574, 96.88927, 96.9616, 97.00055, 96.95604, 96.8837, 96.861435, 96.878136, 96.97274, 96.98387, 96.8837, 96.8837, 96.97273, 96.96161, 96.928215, 96.928215, 96.92822, 96.96716, 96.99499, 96.93935, 96.95048, 96.94491, 96.95604, 96.95048, 96.8336, 96.87813, 96.989426, 96.95603, 96.89482, 96.89482, 96.93378, 96.95604, 96.90596, 96.91152, 96.92821, 96.90039, 96.96717, 96.95048, 96.93935, 97.061775, 96.92821, 96.978294
0.05R, 71.66388, 83.99555, 83.21091, 89.11519, 90.973854, 91.752914, 92.337234, 92.871445, 93.18309, 92.96606, 93.28881, 94.129105, 94.06789, 94.60212, 94.83584, 95.04173, 95.00835, 95.03062, 94.7635, 95.481346, 95.26433, 95.29216, 95.553696, 95.48692, 95.514755, 95.620476, 95.73734, 95.60378, 95.9655, 95.91542, 95.937675, 96.037834, 96.0768, 96.060104, 96.12688, 95.97663, 96.17696, 96.29382, 96.377304, 96.33278, 96.33278, 96.15471, 96.366165, 96.29939, 96.360596, 96.3773, 96.421814, 96.63328, 96.566505, 96.43294, 96.44963, 96.4552, 96.499725, 96.49972, 96.47746, 96.53868, 96.432945, 96.57207, 96.58877, 96.499725, 96.57207, 96.58875, 96.57763, 96.61102, 96.739006, 96.538666, 96.72231, 96.611015, 96.733444, 96.65554, 96.72232, 96.54981, 96.70005, 96.73901, 96.71675, 96.744576, 96.82805, 96.76683, 96.57762, 96.805786, 96.70006, 96.82804, 96.6611, 96.672226, 96.78909, 96.76127, 96.73901, 96.76683, 96.76683, 96.739006, 96.67223, 96.666664, 96.72231, 96.811356, 96.6611, 96.872574, 96.81691, 96.69448, 96.87257, 96.683365, 96.81691, 96.72788, 96.783516, 96.794655, 96.74458, 96.85587, 96.76128, 96.9004, 96.739, 96.83919, 96.867, 96.861435, 96.82805, 96.8336, 96.83917, 96.76126, 96.83361, 96.87257, 96.83361, 96.85031, 96.83918, 96.74458, 96.76684, 96.8837, 96.872574, 96.794655, 96.85587, 96.88368, 96.78909, 96.80022, 96.90596, 96.82804, 96.85587, 96.81692, 96.86699, 96.93378, 96.933784, 96.83361, 96.82805, 96.81692, 96.82248, 96.983864, 96.844734, 96.933784, 96.8837, 96.84474, 96.93934, 96.89483, 96.93379, 96.83917, 96.84474, 96.87813, 96.96159, 96.87257, 96.78352, 96.82805, 96.83361, 96.8837, 96.861435, 96.7891, 96.83918, 96.91708, 96.811356, 96.85587, 96.91708, 96.91709, 96.94491, 97.01169, 96.805786, 96.92265, 96.994995, 96.89483, 96.91152, 96.85587, 96.867004, 96.93935, 96.98387, 96.93378, 96.8503, 96.90596, 96.8837, 96.92265, 96.978294, 97.056206, 97.06734, 96.89482, 96.90039, 96.91708, 96.90039, 96.84474, 96.989426, 96.91708, 96.81692, 96.950485, 96.98387, 96.989426, 96.85587, 96.87813, 96.83918, 96.86701
0.06999999999999999R, 71.71953, 80.845856, 86.789085, 90.21147, 88.58097, 92.04228, 91.6305, 92.54313, 93.16082, 93.277695, 92.92154, 93.92322, 94.001114, 94.385086, 94.490814, 94.385086, 94.82472, 94.61325, 95.00835, 95.125206, 95.25877, 94.808014, 95.31441, 95.492485, 95.50362, 95.4424, 95.58153, 95.620476, 95.69282, 95.870895, 95.926544, 95.9655, 96.12688, 96.18253, 96.09349, 96.20478, 96.03227, 96.16583, 96.06009, 96.26599, 96.254875, 96.238174, 96.16026, 96.01002, 96.188095, 96.42738, 96.19922, 96.26042, 96.33833, 96.44963, 96.52199, 96.488594, 96.3773, 96.58876, 96.42738, 96.53867, 96.52755, 96.46077, 96.544235, 96.70005, 96.52198, 96.57207, 96.47189, 96.494156, 96.53867, 96.611015, 96.60545, 96.70006, 96.53311, 96.77239, 96.722305, 96.57762, 96.64441, 96.68892, 96.67781, 96.72788, 96.61101, 96.58876, 96.65555, 96.63327, 96.64998, 96.633286, 96.86145, 96.633286, 96.63884, 96.744576, 96.80023, 96.7891, 96.867004, 96.68336, 96.7724, 96.7724, 96.8336, 96.867004, 96.75571, 96.81692, 96.76683, 96.75014, 96.80579, 96.62215, 96.739006, 96.81135, 96.76683, 96.861435, 96.85587, 96.9004, 96.677795, 96.872574, 96.800224, 96.73901, 96.933784, 96.78352, 96.7724, 96.90038, 96.7891, 96.95603, 96.83361, 96.75571, 96.739006, 96.92265, 96.8837, 96.88927, 96.80022, 96.800224, 96.77239, 96.88927, 96.7557, 96.789085, 96.867, 96.82805, 96.75571, 96.89483, 96.95604, 96.82805, 96.82249, 96.83918, 96.84474, 96.89482, 96.83918, 96.89482, 96.93379, 96.811356, 96.85031, 96.90039, 96.88927, 96.733444, 96.9616, 96.77797, 96.84474, 96.928215, 96.77239, 96.861435, 96.878136, 96.81135, 96.8503, 96.84474, 96.91152, 96.85588, 96.93378, 96.84474, 96.867, 96.90595, 96.872574, 96.91708, 96.872574, 96.83917, 96.8503, 96.867004, 96.88926, 96.92821, 96.90596, 96.90039, 96.99498, 96.88927, 96.95047, 96.8837, 96.96161, 96.89482, 96.94491, 96.911514, 96.9783, 96.82249, 96.85587, 96.88926, 96.84474, 96.911514, 96.92822, 96.9783, 96.83361, 96.867004, 96.96159, 96.92821, 96.83917, 96.88369, 96.90596, 96.91708, 96.86699, 96.89482, 96.92265, 96.88927
0.09R, 66.78352, 83.366714, 87.37895, 89.57151, 90.25598, 91.71397, 91.40791, 92.58208, 92.54869, 93.59489, 93.433495, 93.27769, 93.644966, 93.96772, 93.95659, 94.11241, 94.17919, 94.195885, 94.757935, 94.802444, 94.47412, 94.76906, 94.60211, 94.80245, 95.16972, 94.869225, 94.89149, 95.063995, 95.10851, 95.0306, 95.40901, 95.46466, 95.19198, 95.08626, 95.57039, 95.442406, 95.642746, 95.49806, 95.314415, 95.48137, 95.614914, 95.68169, 95.39788, 95.742905, 95.37006, 95.64274, 95.78742, 95.8542, 96.00445, 95.86533, 95.5871, 95.998886, 95.60935, 95.90429, 96.29939, 96.004456, 95.84307, 96.07679, 96.321655, 95.90985, 96.31051, 96.104614, 96.16583, 96.27713, 96.34391, 96.243744, 96.42738, 96.44408, 96.51085, 96.27712, 96.42738, 96.488594, 96.4385, 96.394, 96.47746, 96.44964, 96.42738, 96.52199, 96.56093, 96.56093, 96.533104, 96.59433, 96.47746, 96.65554, 96.62215, 96.63328, 96.63328, 96.75014, 96.6778, 96.544235, 96.6277, 96.71675, 96.62771, 96.67778, 96.68893, 96.733444, 96.744576, 96.80022, 96.867, 96.77797, 96.883705, 96.83361, 96.75571, 96.661095, 96.7724, 96.84474, 96.766846, 96.80577, 96.80579, 96.855865, 96.85587, 96.77797, 96.72788, 96.73901, 96.677795, 96.75014, 96.70563, 96.72788, 96.83919, 96.700066, 96.78353, 96.80022, 96.739006, 96.70006, 96.77239, 96.79466, 96.9783, 96.79466, 96.76683, 96.69449, 96.811356, 96.86699, 96.78909, 96.82805, 96.85588, 96.883705, 96.85031, 96.89482, 96.82248, 96.95604, 96.883705, 96.82805, 96.82248, 96.78909, 96.9004, 96.83918, 96.78352, 97.01168, 96.95604, 96.861435, 96.82249, 96.85587, 96.80579, 96.878136, 96.90039, 96.9004, 96.911514, 96.87257, 96.88927, 96.93935, 96.82248, 96.867004, 96.950485, 96.93378, 96.78353, 96.90039, 96.82249, 96.96718, 96.76128, 96.9004, 96.8336, 96.917076, 96.861435, 96.88927, 96.79466, 96.93378, 96.95604, 96.933784, 96.85588, 96.994995, 96.8837, 96.92821, 96.90596, 96.928215, 96.91152, 96.950485, 96.89483, 96.88926, 97.000565, 96.93935, 96.994995, 96.92265, 96.8503, 96.84474, 96.89482, 97.05064, 96.90596, 96.95048, 96.94491, 96.87813
0.11R, 70.2838, 76.59989, 85.976616, 89.49361, 89.99443, 91.34669, 92.36505, 92.18698, 92.59878, 93.18308, 92.39844, 93.36115, 93.07735, 93.567055, 93.683914, 93.82304, 93.31107, 94.056755, 93.7507, 94.04007, 93.817474, 94.41848, 94.22371, 94.702286, 93.98441, 94.52978, 94.09571, 94.53535, 94.507515, 94.57986, 94.65777, 94.435165, 94.83584, 94.30718, 94.41292, 94.64663, 94.65776, 94.53533, 94.56873, 94.36283, 94.91376, 94.507515, 94.51864, 95.02504, 94.81358, 94.47969, 94.880356, 94.27936, 94.936, 94.67446, 94.880356, 94.69672, 94.59656, 94.501945, 94.9527, 94.379524, 94.6355, 94.91374, 95.09181, 95.04731, 95.130775, 94.98052, 95.21425, 94.813576, 94.84141, 95.13077, 94.78019, 94.79688, 95.319984, 94.986084, 95.05287, 95.03061, 94.746796, 95.080696, 95.04173, 94.496376, 95.14191, 95.442406, 95.20868, 94.95827, 95.39788, 95.24207, 95.09738, 94.73011, 95.319984, 95.180855, 95.119644, 95.10852, 95.07513, 94.99721, 95.297714, 95.114075, 94.96382, 94.78019, 95.25876, 95.3311, 94.97496, 95.26433, 95.41458, 95.28659, 95.32554, 95.57596, 95.51475, 95.20312, 95.16416, 95.44797, 95.41457, 95.542564, 94.62994, 95.30329, 95.498055, 95.53145, 95.65387, 95.436844, 95.19755, 95.17529, 95.69839, 96.03784, 95.748474, 95.79855, 95.83751, 95.54814, 95.492485, 95.34224, 95.297714, 95.45911, 96.188095, 96.66111, 95.88759, 96.44963, 96.27714, 96.316086, 96.416245, 96.11018, 96.60545, 96.76127, 96.416245, 96.560936, 96.6945, 96.488594, 96.62215, 96.77797, 96.66111, 96.77797, 96.52755, 96.66667, 96.81691, 96.83362, 96.7724, 96.805786, 96.76683, 96.989426, 96.83917, 96.805786, 96.44408, 96.82805, 96.77797, 96.95604, 96.68336, 96.867, 96.91709, 96.84474, 96.800224, 96.883705, 97.050644, 96.82805, 97.05064, 96.855865, 96.85587, 96.861435, 96.900406, 96.978294, 97.01726, 96.88927, 96.92265, 96.85587, 96.92821, 96.983864, 96.90039, 96.989426, 97.00056, 96.83361, 96.9004, 96.978294, 96.92265, 96.8837, 97.00612, 96.92265, 96.96159, 96.98386, 96.95048, 97.01169, 96.878136, 96.90596, 96.85587, 96.994995, 96.8336, 96.983864, 97.1063, 96.92821
0.13R, 71.99777, 84.97496, 87.68502, 88.8759, 90.17807, 91.60824, 91.307724, 91.151924, 92.08124, 91.38564, 92.53756, 92.73233, 93.30551, 93.188644, 93.29994, 93.03839, 93.29994, 93.377846, 93.04396, 94.0345, 92.838066, 93.53367, 93.73956, 93.4168, 93.37786, 93.60601, 93.68393, 93.75069, 93.811905, 93.62827, 93.71175, 93.59488, 94.08458, 93.87312, 93.22203, 94.24597, 92.84363, 93.65609, 93.37229, 93.455765, 93.50028, 93.24429, 93.58931, 93.96215, 93.7173, 93.87868, 93.59487, 93.99555, 94.51308, 93.71175, 94.19032, 93.928764, 93.761826, 93.70617, 93.80078, 93.59489, 94.18475, 94.19032, 93.90095, 93.70061, 94.40178, 93.47246, 94.40734, 93.11074, 93.96773, 94.52977, 94.18475, 94.02893, 94.39622, 93.96773, 93.89538, 94.08459, 93.98441, 93.951035, 93.71731, 94.006676, 93.31108, 94.1458, 93.89537, 93.878685, 93.9232, 93.29994, 94.1458, 93.2276, 94.01224, 93.98442, 94.0345, 93.878685, 94.307175, 94.54091, 93.895386, 94.385086, 94.207016, 94.34614, 94.08458, 93.99555, 94.10127, 94.04007, 94.09571, 93.87868, 93.951035, 94.451866, 94.129105, 93.74513, 94.91374, 94.49083, 93.695045, 94.42961, 93.689476, 93.72844, 94.37952, 94.11241, 94.067894, 93.823044, 94.05676, 94.33501, 94.17362, 94.11241, 93.11631, 93.91208, 93.83417, 93.81191, 94.24597, 93.11074, 93.861984, 93.41124, 93.88982, 94.145805, 94.52978, 93.98441, 94.262665, 94.10685, 94.51865, 94.32387, 93.53923, 93.95659, 94.46856, 94.268234, 93.65053, 94.15693, 94.28493, 94.10128, 94.39065, 94.11241, 94.22927, 94.05676, 94.26823, 94.61325, 94.062325, 94.30162, 94.446304, 94.03451, 93.71175, 94.24596, 94.40734, 94.04563, 93.65053, 94.2571, 94.19588, 93.98999, 94.28493, 94.56316, 93.77296, 94.41292, 94.22926, 93.89538, 94.41847, 94.06789, 94.1458, 94.51308, 94.307175, 94.312744, 94.440735, 93.98998, 94.54646, 94.40178, 94.574295, 94.067894, 94.10685, 93.767395, 94.19032, 94.21258, 93.93433, 93.90094, 93.76739, 94.22928, 94.073456, 93.962166, 93.60045, 94.179184, 93.97328, 94.23484, 94.13467, 94.140236, 94.012245, 94.33501, 94.396225, 93.98442, 93.74513, 94.12911
0.15000000000000002R, 62.79354, 79.29327, 87.61825, 88.64775, 89.05397, 90.55092, 90.45075, 92.00334, 91.31331, 91.30774, 91.84196, 92.35949, 92.54312, 91.5025, 92.32053, 92.23706, 92.760155, 92.097946, 92.78242, 92.18141, 92.34836, 92.97719, 92.003334, 92.18697, 92.78798, 92.76572, 92.72677, 92.70451, 93.010574, 92.47079, 92.576515, 93.11074, 93.077354, 91.75849, 92.09238, 93.388985, 93.14412, 92.771286, 92.96605, 93.121864, 92.55425, 93.35003, 93.35559, 92.3428, 92.71007, 92.77684, 93.52811, 92.99388, 93.09404, 92.988304, 93.24986, 93.17751, 93.24429, 93.505844, 92.47636, 92.570946, 93.06065, 93.34447, 92.99387, 92.760155, 93.444626, 92.82137, 93.84529, 92.78242, 93.11073, 92.36506, 92.55982, 92.648865, 92.78798, 93.199776, 93.30551, 93.121864, 93.97886, 92.943794, 93.39454, 93.021706, 92.83806, 92.25376, 92.85476, 93.188644, 93.12187, 93.22204, 93.416794, 92.85475, 93.49471, 93.41681, 92.47078, 93.34446, 92.87146, 93.23317, 93.23317, 92.70451, 93.15526, 93.23873, 92.309395, 92.392876, 92.72677, 92.29271, 92.3428, 93.32777, 92.96049, 93.077354, 92.38175, 92.97719, 92.86589, 92.72121, 92.35392, 92.36504, 93.33889, 93.29994, 93.745125, 93.005005, 92.55982, 91.6917, 92.60991, 92.98276, 92.99387, 92.65442, 93.61158, 93.50029, 93.40011, 92.648865, 92.93266, 93.36116, 92.99388, 93.24986, 93.40568, 92.459656, 92.96049, 92.88258, 92.96049, 93.42237, 92.559814, 93.132996, 93.68948, 93.316635, 92.8492, 92.871445, 92.954926, 92.05341, 92.84363, 93.077354, 93.08291, 92.771286, 93.37785, 93.305504, 93.55592, 93.15526, 92.72121, 92.97718, 92.3094, 92.938225, 93.29994, 93.48914, 92.632164, 93.205345, 93.04953, 92.31496, 92.68782, 92.66555, 91.9143, 93.07179, 92.760155, 92.31497, 92.98276, 93.10518, 92.80467, 92.24263, 92.80467, 92.320526, 93.36673, 92.96049, 92.49304, 92.68781, 92.43183, 92.60433, 93.14412, 92.070114, 92.52087, 93.07735, 92.84363, 92.69893, 92.69894, 92.79354, 92.90484, 92.65999, 92.8325, 92.87703, 92.582085, 93.194214, 93.24986, 93.09961, 92.86032, 92.8492, 92.776855, 92.72676, 93.010574, 92.90484, 92.71007, 92.88815
0.17R, 74.84141, 78.425156, 86.03785, 85.932106, 89.48247, 89.37674, 90.79021, 91.22982, 91.56371, 91.090706, 91.652756, 92.55983, 91.31886, 92.08125, 92.24263, 91.58041, 92.05342, 91.16304, 92.25932, 91.81969, 92.34835, 91.63606, 91.44129, 92.12577, 92.84363, 92.62104, 92.39844, 92.465225, 90.96828, 92.465225, 91.96438, 91.65832, 92.771286, 92.34279, 91.86422, 92.565384, 92.871445, 92.031166, 91.886475, 91.56371, 91.80301, 92.28158, 91.652756, 91.41347, 91.59154, 92.776855, 91.59154, 92.20924, 90.82916, 91.94212, 92.17029, 92.281586, 91.830826, 92.943794, 92.32611, 91.22983, 91.335556, 92.22036, 92.09794, 92.6266, 92.326096, 91.37451, 92.515305, 92.40957, 91.841965, 91.98108, 91.953255, 91.54703, 92.79354, 91.87535, 92.87145, 92.264885, 92.25376, 92.47636, 92.13133, 92.18141, 92.203674, 91.202, 92.61547, 92.48748, 92.09794, 92.888145, 91.33556, 92.22593, 91.886475, 91.76405, 91.95882, 92.136894, 91.79188, 92.17585, 92.34835, 92.57095, 91.897606, 92.43183, 92.34279, 91.64719, 92.3094, 92.59878, 91.68057, 92.37062, 91.953255, 91.691696, 92.60434, 92.20924, 91.64162, 92.554245, 92.07012, 91.4858, 92.00334, 91.73623, 92.214806, 92.12019, 92.16472, 92.08125, 91.81413, 91.49138, 91.95325, 91.62494, 91.98665, 91.825264, 91.6305, 91.98665, 91.98108, 91.67502, 92.08125, 90.66222, 91.95882, 92.90483, 92.16472, 91.752914, 91.79187, 92.765724, 91.94212, 92.47635, 91.87535, 92.3094, 92.05898, 92.57652, 91.80301, 92.37619, 92.448524, 92.35393, 92.18697, 92.320526, 90.92377, 91.48024, 92.014465, 92.60991, 92.40401, 91.94769, 92.05342, 92.097946, 91.63606, 91.42461, 91.90874, 90.6177, 92.48748, 92.136894, 92.25932, 91.6138, 90.85698, 92.35393, 90.845856, 92.30384, 92.15915, 91.01836, 91.88647, 90.717865, 92.29271, 91.66945, 91.74178, 92.32054, 91.903175, 91.663895, 90.417366, 90.53979, 91.22426, 92.35948, 92.35392, 91.31886, 91.26879, 89.97774, 90.584305, 91.59711, 92.48192, 91.44685, 91.702835, 92.15916, 91.48024, 90.48414, 91.49137, 92.58208, 92.47636, 92.05342, 92.29826, 90.64552, 91.791885, 91.83083, 92.2482, 90.80133
0.19R, 66.22148, 79.52142, 86.49972, 88.68671, 88.414024, 88.63661, 90.139114, 90.53979, 89.79967, 90.656654, 90.712296, 91.207565, 90.84029, 91.029495, 90.534225, 90.717865, 90.75682, 90.895935, 91.129654, 91.17974, 91.86422, 91.079575, 91.13522, 91.825264, 90.76795, 91.7251, 92.45409, 91.38008, 91.38008, 91.17975, 90.87367, 91.090706, 91.04619, 92.15915, 91.6138, 90.461876, 91.46355, 91.22983, 91.2354, 91.00166, 91.04062, 91.60268, 91.35226, 91.5526, 91.079575, 91.2354, 90.539795, 91.09627, 91.969955, 92.148026, 92.26488, 91.27991, 91.49136, 91.03506, 91.407906, 90.95159, 91.26878, 91.69728, 91.257645, 91.51363, 91.48582, 90.255974, 91.207565, 91.2354, 91.346695, 90.645515, 91.00723, 91.2187, 92.15359, 91.202, 91.396774, 90.779076, 91.49138, 91.28548, 90.45076, 91.33556, 90.94602, 91.5025, 90.86812, 91.16861, 91.37451, 91.202, 91.36894, 91.32443, 92.020035, 90.57317, 90.90151, 91.151924, 91.73067, 92.34835, 91.22983, 91.969955, 90.734566, 90.75125, 91.25209, 90.845856, 91.97551, 91.71953, 91.31886, 90.5231, 90.75682, 90.9015, 90.82359, 91.97551, 90.73455, 90.80691, 91.085144, 91.66945, 89.910965, 91.079575, 90.86812, 90.75682, 90.94602, 91.31886, 90.82359, 91.346695, 91.029495, 89.5882, 91.69727, 91.19088, 89.26545, 91.55816, 91.67502, 89.82749, 91.30217, 91.13523, 89.86644, 91.35225, 91.079575, 91.82526, 90.26154, 91.029495, 91.22426, 91.41902, 91.14079, 90.161385, 90.19477, 91.085144, 89.955475, 90.089035, 90.38397, 89.961044, 90.56206, 91.469124, 90.4118, 89.93323, 90.61213, 90.91263, 91.71953, 90.962715, 89.771835, 90.20033, 91.09071, 90.56761, 91.029495, 91.06846, 91.00724, 90.93489, 90.601, 90.57875, 90.57874, 91.841965, 90.74568, 89.744026, 90.150246, 91.00167, 90.91264, 91.55815, 90.31163, 91.329994, 91.407906, 91.21312, 91.25209, 84.65776, 90.940445, 90.63439, 91.21313, 91.652756, 91.07401, 89.68837, 90.23372, 90.43405, 90.61213, 90.81804, 89.69949, 90.5064, 89.77741, 89.966606, 91.0907, 90.9349, 89.037285, 90.283806, 90.70674, 90.76238, 91.24653, 90.08904, 90.211464, 90.61769, 90.545364, 91.26878
